コード,区分,備考
1,装備あり 作動,乗車部位にサイドエアバッグの装備があり、衝突時の衝撃によりサイドエアバッグが 作動したものをいう。
2,その他,乗車部位にサイドエアバッグの装備はあるが、正面衝突や衝撃が小さいため又は故 障等していたため、サイドエアバッグが作動しなかったもの及び乗車部位にサイドエ アバッグの装備がないもの並びに乗車部位にサイドエアバッグの装備の有無が不明
0,対象外当事者,当事者種別が「乗用車」「貨物車」以外のものをいう。
