コード,区分,備考
1,小(27m未満),環状交差点の直径が27m未満のものをいう。
2,中(27m以上),環状交差点の直径が27m以上43m未満のものをいう。
3,大(43m以上),環状交差点の直径が43m以上のものをいう。
0,環状交差点以外,環状交差点以外をいう。
