コード,区分,備考
1,20km/h以下,最高速度が20km/h以下の速度規制をいう。
2,30km/h以下,最高速度が21~30km/hの速度規制をいう。
3,40km/h以下,最高速度が31~40km/hの速度規制をいう。
4,50km/h以下,最高速度が41~50km/hの速度規制をいう。
5,60km/h以下,最高速度が51~60km/hの速度規制をいう。
6,70km/h以下,最高速度が61~70km/hの速度規制をいう。
7,80km/h以下,最高速度が71~80km/hの速度規制をいう。
8,100km/h以下,最高速度が81~100km/hの速度規制をいう。
9,100km/h超過,最高速度が100km/h超過の速度規制をいう。
10,指定の速度規制なし等,全く速度規制がなされていない場合及び当該車両の最高速度が指定されていないも のをいう。
0,対象外当事者,当事者種別が「乗用車」、「貨物車」、「特殊車」、「二輪車」以外のものをいう。
