コード,区分,備考
1,平坦-1%未満,縦断勾配が0%を除く。
2,平坦-1%以上,1%以上2%未満の縦断勾配をいう。
3,平坦-2%以上,2%以上3%未満の縦断勾配をいう。
4,上り・下り-3%以上,3%以上4%未満の縦断勾配をいう。
5,上り・下り-4%以上,4%以上5%未満の縦断勾配をいう。
6,上り・下り-5%以上,5%以上6%未満の縦断勾配をいう。
7,上り・下り-6%以上,6%以上7%未満の縦断勾配をいう。
8,上り・下り-7%以上,7%以上8%未満の縦断勾配をいう。
9,上り・下り-8%以上,8%以上の縦断勾配をいう。
0,平坦・該当なし,縦断勾配が0%及びサービスエリア、パーキングエリア等をいう。
