コード,区分,備考
1,装備あり 作動,乗車部位にエアバッグの装備があり、衝突時の衝撃によりエアバッグが作動したもの をいう。
2,その他,乗車部位にエアバッグの装備はあるが、側面衝突や衝撃が小さいため又は故障等し ていたため、エアバッグが作動しなかったもの及び乗車部位にエアバッグの装備がな いもの並びに乗車部位にエアバッグの装備の有無が不明のものをいう。
0,対象外当事者,当事者種別が「乗用車」「貨物車」以外のものをいう。
