コード,区分,備考
1,20km/h以下,最高速度が20km/h以下の速度規制をいう。
2,30km/h以下,最高速度が21~30km/hの速度規制をいう。
3,40km/h以下,最高速度が31~40km/hの速度規制をいう。
4,50km/h以下,最高速度が41~50km/hの速度規制をいう。
5,60km/h以下,最高速度が51~60km/hの速度規制をいう。
6,70km/h以下,最高速度が61~70km/hの速度規制をいう。
7,80km/h以下,最高速度が71~80km/hの速度規制をいう。
0,該当なし,
