コード,区分,備考
1,運転者,車両等(列車含む。)の運転者をいう。
2,同乗者,車両等(列車含む。)の同乗者をいう。
5,歩行者等,当事者種別が「歩行者」「歩行者以外の道路上の人」「道路外の人」をいう。
0,その他,当事者が不明のものをいう。
