コード,区分,備考
1,あり-異常気象,降雨、降雪、強風、濃霧等の異常気象に伴う臨時速度規制をいう。
2,あり-工事等,道路の工事、維持等の作業に伴う臨時速度規制をいう。
3,あり-渋滞,車両の渋滞に伴う臨時速度規制をいう。
4,あり-その他,上記以外の事由に伴う臨時速度規制をいう。
0,該当なし,臨時速度規制を行っていない場合又は規制を行っていても本線車道以外のランプ ウェイ、料金所付近、サービスエリア、パーキングエリア等臨時速度規制の対象外場 所で発生した事故をいう。
